model,final_score,bucket1_pe,bucket2_pe
Baseline-ExpDecay(0.050),1.1049386914486414,0.4472166036707129,0.21050548410721576
Baseline-NoErosion,2.1821933924988546,0.8912521804457353,0.39968903160738445
XGBoost,3.386774631320441,1.0774132367502116,1.2319481578200178
ARHOW-SARIMAX+HW,3.38859664314246,0.8906321242085944,1.6073323947252713
Hybrid-Physics+XGBoost,11.5326730207315,3.7059340725834256,4.120804875564648
LightGBM,14.964785408939587,4.719711339067494,5.525362730804598
Hybrid-Physics+LightGBM,29.599411850145593,9.380392628806986,10.838626592531623
