model,final_score,bucket1_pe,bucket2_pe
Hybrid-Physics+LightGBM,1.075781051856337,0.36243114900641116,0.3509187538435149
Baseline-ExpDecay(0.050),1.1768511853633725,0.50144015296568,0.17397087943201278
Baseline-NoErosion,1.837601568620585,0.7649665410563482,0.3076684865078888
ARHOW-SARIMAX+HW,2.407847928102231,0.76484168791709,0.8781645522680515
XGBoost,2.842682281801181,0.8880378239824547,1.0666066338362716
Hybrid-Physics+XGBoost,3.4849665649337447,1.176632574792054,1.1317014153496365
LightGBM,14.932109298688786,4.7140199846328334,5.504069329423119
