seed,official_metric,rmse_norm,mae_norm,model_path
42,0.2675,0.18234998123032842,0.1439565682695947,/Users/armanfeili/code/New Projects/novartis_datathon_2025/artifacts/catboost_bonus_all_20251130_102233_s2/seed_42/model.bin
2025,0.2675,0.18249717445508126,0.1440272568417501,/Users/armanfeili/code/New Projects/novartis_datathon_2025/artifacts/catboost_bonus_all_20251130_102233_s2/seed_2025/model.bin
1337,0.2623,0.18318730000946365,0.14462961127266272,/Users/armanfeili/code/New Projects/novartis_datathon_2025/artifacts/catboost_bonus_all_20251130_102233_s2/seed_1337/model.bin
