iter	RMSE
0	0.28964582
1	0.2818459619
2	0.2745394813
3	0.2677280238
4	0.2612779793
5	0.2552522628
6	0.2497604123
7	0.244582538
8	0.2395916076
9	0.2351039006
10	0.2309127366
11	0.2270716126
12	0.2233807227
13	0.2200563469
14	0.2168730185
15	0.2138891093
16	0.2111665608
17	0.208683775
18	0.2063592291
19	0.2039670228
20	0.2018612523
21	0.199908713
22	0.1981601736
23	0.1965209839
24	0.1949229941
25	0.1933904901
26	0.1919446223
27	0.1906981164
28	0.1893698241
29	0.1882479987
30	0.1871643466
31	0.1861137157
32	0.1852258917
33	0.1842584624
34	0.1833763502
35	0.1825724838
36	0.1818306396
37	0.1810742516
38	0.180304336
39	0.1795400979
40	0.1788512292
41	0.1782074232
42	0.1776117931
43	0.177010834
44	0.176455823
45	0.1758593754
46	0.1752834078
47	0.1747041023
48	0.1742048414
49	0.1737439656
50	0.1733383806
51	0.1729301097
52	0.1725048128
53	0.172118797
54	0.1717015168
55	0.1713575279
56	0.1709229502
57	0.1705307111
58	0.1701434439
59	0.1698262935
60	0.1694636451
61	0.1691597178
62	0.1688390945
63	0.1684999344
64	0.1682151175
65	0.1679067623
66	0.1676275512
67	0.167334429
68	0.167005918
69	0.1667142767
70	0.1665176633
71	0.1662654554
72	0.166052103
73	0.1657832056
74	0.1655472277
75	0.1653677895
76	0.1650569149
77	0.1647543022
78	0.1645230331
79	0.1642425215
80	0.164020921
81	0.1638040556
82	0.1634999714
83	0.1632478118
84	0.1629701884
85	0.1627069472
86	0.1625216583
87	0.1623207953
88	0.1620794713
89	0.1619134759
90	0.1616971159
91	0.1615415564
92	0.1613607326
93	0.1611084329
94	0.1608932631
95	0.1607686846
96	0.1606383809
97	0.1605309522
98	0.1603403821
99	0.1601491641
100	0.1599141044
101	0.1598018292
102	0.159639446
103	0.1594635141
104	0.1592682401
105	0.1590876367
106	0.1589743166
107	0.1588245259
108	0.1587046768
109	0.1585754259
110	0.1583684802
111	0.1582547298
112	0.1581058385
113	0.1579163749
114	0.1577793489
115	0.1576125247
116	0.157458565
117	0.1572987473
118	0.157173617
119	0.1570190194
120	0.1567586059
121	0.1566555372
122	0.1565590586
123	0.1563926299
124	0.1562499762
125	0.1561368766
126	0.156000989
127	0.1558511036
128	0.1557685594
129	0.1555692542
130	0.155462764
131	0.1553223317
132	0.1551326862
133	0.1549325441
134	0.1547473844
135	0.1545779758
136	0.154409975
137	0.1543102328
138	0.1540820311
139	0.153973635
140	0.153848762
141	0.153631332
142	0.1534936455
143	0.1533212005
144	0.1531603055
145	0.1528246788
146	0.1527035751
147	0.1526432053
148	0.1524859369
149	0.1524276408
150	0.1522642277
151	0.1521827824
152	0.1520108028
153	0.1518062882
154	0.1516908017
155	0.1515763914
156	0.1514937722
157	0.1513978154
158	0.1512861229
159	0.151131997
160	0.1509665127
161	0.1508537267
162	0.1507383789
163	0.1506273673
164	0.1505414312
165	0.1504300874
166	0.1503247997
167	0.150237204
168	0.150166297
169	0.1499930506
170	0.1498591893
171	0.1497031799
172	0.1496352018
173	0.14955011
174	0.1493472534
175	0.1492692568
176	0.1491999088
177	0.1489840319
178	0.148869103
179	0.1487972539
180	0.1487148265
181	0.1485551031
182	0.1484340112
183	0.1483390026
184	0.1481767563
185	0.1481139572
186	0.148032771
187	0.1479487374
188	0.1478072466
189	0.1476804325
190	0.1475305601
191	0.1473739458
192	0.1472835758
193	0.1471575731
194	0.1470591261
195	0.1469604874
196	0.1468217538
197	0.1466634829
198	0.1465733146
199	0.1464004707
200	0.1462986766
201	0.146185645
202	0.1460209494
203	0.1459424603
204	0.1458642529
205	0.1456839228
206	0.1455928669
207	0.1454603004
208	0.1453934782
209	0.1452622331
210	0.1451829136
211	0.1451215941
212	0.1450301475
213	0.1449596447
214	0.1448711248
215	0.1447656328
216	0.14461368
217	0.1445553973
218	0.1444870787
219	0.1443698549
220	0.1442445893
221	0.1441370128
222	0.1440741574
223	0.1439685333
224	0.1438409089
225	0.1436187355
226	0.1435689814
227	0.1434716955
228	0.143404355
229	0.1432583642
230	0.1431481084
231	0.1430258537
232	0.1429596393
233	0.1428484028
234	0.142698013
235	0.1426230802
236	0.1424050024
237	0.1422648799
238	0.1421464293
239	0.1420682941
240	0.141945041
241	0.1418333256
242	0.1417367763
243	0.1416561339
244	0.1415143473
245	0.1413762977
246	0.1412984332
247	0.1411980179
248	0.1410652114
249	0.1409849325
250	0.140902743
251	0.1408309214
252	0.1407316305
253	0.1406234618
254	0.1404408968
255	0.1403768595
256	0.1402648634
257	0.1402044372
258	0.140109757
259	0.1399823939
260	0.1399110809
261	0.1397885599
262	0.1396261205
263	0.1394934943
264	0.1394213505
265	0.1393167324
266	0.1391904085
267	0.139074017
268	0.1390281707
269	0.1389508589
270	0.1389011399
271	0.1388089017
272	0.138716126
273	0.1385993761
274	0.1384665842
275	0.1383476513
276	0.138226051
277	0.1381056354
278	0.1379479848
279	0.1378941348
280	0.137811767
281	0.1377312918
282	0.1376357234
283	0.1374812852
284	0.1373882473
285	0.1373048708
286	0.1372396747
287	0.1371001946
288	0.1369927907
289	0.13692264
290	0.1367900332
291	0.1367086343
292	0.1366363678
293	0.1364957051
294	0.1363918747
295	0.1363302447
296	0.1362625272
297	0.1361424538
298	0.1360374697
299	0.1359903683
300	0.1359341324
301	0.1358391574
302	0.1357214336
303	0.1356180168
304	0.1355628651
305	0.1355058773
306	0.1354182785
307	0.135260555
308	0.1351637305
309	0.1350414637
310	0.1349413709
311	0.1348990795
312	0.1348448695
313	0.1347409232
314	0.1346684707
315	0.1345836359
