seed,official_metric,rmse_norm,mae_norm,model_path
42,0.2696,0.18599854522180498,0.14692542905923445,/Users/armanfeili/code/New Projects/novartis_datathon_2025/artifacts/catboost_bonus_all_20251130_101113_s2/seed_42/model.bin
2025,0.2662,0.1844669009905702,0.14626011470398423,/Users/armanfeili/code/New Projects/novartis_datathon_2025/artifacts/catboost_bonus_all_20251130_101113_s2/seed_2025/model.bin
1337,0.2633,0.18299046103404537,0.1447115653647473,/Users/armanfeili/code/New Projects/novartis_datathon_2025/artifacts/catboost_bonus_all_20251130_101113_s2/seed_1337/model.bin
