config_idx,mean_official_metric,std_official_metric,ci_lower,ci_upper,mean_rmse,mean_mae,max_depth,learning_rate
9,0.7847333333333334,0.050221542522440876,0.6599761056126112,0.9094905610540556,0.2399782863600836,0.18064360877860164,6,0.05
3,0.785,0.052633354443736576,0.6542514993320124,0.9157485006679876,0.24055290217962758,0.18150001601834043,4,0.05
4,0.7859666666666666,0.04398776345000198,0.676695004626318,0.8952383287070151,0.23987643668625944,0.18116673937280134,5,0.02
8,0.7873,0.04255255573993177,0.6815935915563874,0.8930064084436126,0.23902643144285426,0.17972553117553333,6,0.03
1,0.7881,0.04125639344392579,0.6856134371964049,0.8905865628035952,0.24081336754957303,0.182681546579733,4,0.02
6,0.7889666666666667,0.04592562828457913,0.6748810815105298,0.9030522518228036,0.24022893904487072,0.1812026125386553,5,0.05
2,0.7898000000000001,0.04544359140737009,0.6769118608289777,0.9026881391710224,0.2408398124105117,0.18231611769922276,4,0.03
7,0.7919999999999999,0.04291514884047353,0.6853928603613223,0.8986071396386776,0.23939606348943787,0.18034860822982982,6,0.02
5,0.7929,0.04749557874160502,0.6749144417080338,0.9108855582919663,0.2399190923982164,0.1809507890202973,5,0.03
