official_metric,rmse_norm,mae_norm,scenario,model_type,train_time_seconds,n_train_samples,n_val_samples,n_features,run_id,axes,index,total,is_sweep
0.7499,0.245909725636305,0.1759389139369798,1,xgboost,9.296686172485352,37488,9384,86,2025-11-29_06-12_xgboost_scenario1_lr0p03_max_depth6,"{'params.max_depth': 6, 'params.learning_rate': 0.03}",2,4,True
0.7754,0.2480323803470335,0.17675795628465904,1,xgboost,5.124269008636475,37488,9384,86,2025-11-29_06-12_xgboost_scenario1_lr0p05_max_depth6,"{'params.max_depth': 6, 'params.learning_rate': 0.05}",3,4,True
0.785,0.24931761846077521,0.1784333931355855,1,xgboost,6.640869140625,37488,9384,86,2025-11-29_06-12_xgboost_scenario1_lr0p05_max_depth4,"{'params.max_depth': 4, 'params.learning_rate': 0.05}",1,4,True
0.7873,0.2501243644530115,0.1800131288719346,1,xgboost,4.457769393920898,37488,9384,86,2025-11-29_06-12_xgboost_scenario1_lr0p03_max_depth4,"{'params.max_depth': 4, 'params.learning_rate': 0.03}",0,4,True
